BIC;Name;Service SCT;Service SDD;Service COR1;Service B2B;Service SCC
CITCLULL   ;CITCO BANK NEDERLAND NV, LUXEMBOURG BRANCH                                                                                                  ;1;0;0;0;0
CITCNL2A   ;CITCO BANK NEDERLAND N.V.                                                                                                                   ;1;1;0;0;0
CITFCZPP   ;CITFIN, SPORITELNI DRUZSTVO                                                                                                                 ;1;0;0;0;0
CITIATWX   ;CITIBANK EUROPE PLC AUSTRIA                                                                                                                 ;1;1;0;1;0
CITIBEBX   ;CITIBANK EUROPE PLC BELGIUM                                                                                                                 ;1;1;0;1;0
CITIBGSF   ;CITIBANK EUROPE PLC BULGARIA                                                                                                                ;1;1;0;1;0
CITICZPX   ;CITIBANK EUROPE PLC CZECH                                                                                                                   ;1;1;0;1;0
CITIDEFF   ;CITIGROUP GLOBAL MARKETS DEUTSCHLAND AG                                                                                                     ;1;1;0;1;1
CITIDKKX   ;CITIBANK EUROPE PLC DENMARK                                                                                                                 ;1;1;0;1;0
CITIESMX   ;CITIBANK EUROPE PLC SPAIN                                                                                                                   ;1;1;0;1;0
CITIFIHX   ;CITIBANK EUROPE PLC FINLAND                                                                                                                 ;1;1;0;1;0
CITIFRPP   ;CITIBANK EUROPE PLC FRANCE                                                                                                                  ;1;1;0;1;0
CITIGB2L   ;CITIBANK N.A.                                                                                                                               ;1;1;0;1;1
CITIGRAA   ;CITIBANK EUROPE PLC GREECE                                                                                                                  ;1;1;0;1;0
CITIHUHX   ;CITIBANK EUROPE PLC HUNGARY                                                                                                                 ;1;1;0;1;0
CITIIE2X   ;CITIBANK EUROPE PLC IRELAND                                                                                                                 ;1;1;0;1;0
CITIITMX   ;CITIBANK NA ITALY                                                                                                                           ;1;1;0;1;0
CITILULX   ;CITIBANK EUROPE PLC LUXEMBOURG                                                                                                              ;1;1;0;1;0
CITINL2X   ;CITIBANK EUROPE PLC NETHERLANDS                                                                                                             ;1;1;0;1;0
CITINOKX   ;CITIBANK EUROPE PLC NORWAY                                                                                                                  ;1;1;0;1;0
CITIPLPX   ;BANK HANDLOWY W WARSZAWIE SA                                                                                                                ;1;1;0;1;0
CITIPTPX   ;CITIBANK EUROPE PLC PORTUGAL                                                                                                                ;1;1;0;1;0
CITIROBU   ;CITIBANK EUROPE PLC ROMANIA                                                                                                                 ;1;1;0;1;0
CITISESX   ;CITIBANK EUROPE PLC SWEDEN                                                                                                                  ;1;1;0;1;0
CITISKBA   ;CITIBANK EUROPE PLC SLOVAKIA                                                                                                                ;1;1;0;1;0
CIVIIT2C   ;BANCA POPOLARE DI CIVIDALE S.C.P.A.                                                                                                         ;1;1;0;1;0
CKCNIE21   ;ST. CANICE'S KILKENNY CREDIT UNION LIMITED                                                                                                  ;1;1;0;0;0
CKCUIE21   ;ST. COLMCILLE'S (KELLS) CREDIT UNION LIMITED                                                                                                ;1;1;0;0;0
CKVHDE21   ;CALENBERGER KREDITVEREIN CALENBERG-GOETTINGEN-GRUBENHAGEN-HILDESHEIM'S                                                                      ;1;1;0;1;1
CLDIIE21   ;MEMBER FIRST CREDIT UNION LIMITED                                                                                                           ;1;1;0;0;0
CLDOIE21   ;ST COLUMBAS CREDIT UNION LIMITED                                                                                                            ;1;0;0;0;0
CLEUIE21   ;CLONMEL CREDIT UNION LIMITED                                                                                                                ;1;1;0;0;0
CLFRFRPP   ;DEXIA CREDIT LOCAL                                                                                                                          ;1;1;0;0;0
CLIOIE21   ;CLANMAURICE CREDIT UNION LIMITED                                                                                                            ;1;0;0;0;0
CLIRIE21   ;COMHAR LINN INTO CREDIT UNION LIMITED                                                                                                       ;1;1;0;0;0
CLPEES2M   ;LABORAL KUTXA (CAJA LABORAL POPULAR COOP.DE CREDITO)                                                                                        ;1;1;0;1;0
CLPEES2MXXX;CAJA LABORAL                                                                                                                                ;1;0;0;0;0
CLRIIE21   ;CLONDALKIN CREDIT UNION LIMITED                                                                                                             ;1;1;0;0;0
CLROIE21   ;CLONES CREDIT UNION LIMITED                                                                                                                 ;1;0;0;0;0
CLYDGB2S   ;CLYDESDALE BANK PLC                                                                                                                         ;1;0;0;0;0
CMBMMCMX   ;COMPAGNIE MONEGASQUE DE BANQUE S.A.M.                                                                                                       ;1;1;0;1;0
CMBRFR2B   ;CREDIT MUTUEL ARKEA                                                                                                                         ;1;1;0;1;0
CMCIBEB1BTB;BANQUE TRANSATLANTIQUE BELGIUM                                                                                                              ;1;0;0;0;0
CMCIDEDD   ;TARGOBANK AG CO KGAA                                                                                                                        ;1;1;0;1;1
CMCIDEFF   ;BANQUE FEDERATIVE DU CREDIT MUTUEL (BFCM)                                                                                                   ;0;1;0;1;0
CMCIDEF1   ;BANQUE EUROPEENNE DU CREDIT MUTUEL                                                                                                          ;1;1;0;1;1
CMCIESMM   ;TARGOBANK SA                                                                                                                                ;1;1;0;1;0
CMCIFRPA   ;CREDIT MUTUEL - CIC BANQUES                                                                                                                 ;1;1;0;1;0
CMCIFRPB   ;CREDIT MUTUEL-CIC BANQUES-CM-CIC SECURITIES                                                                                                 ;1;1;0;1;0
CMCIFRPP   ;CM - CIC BANQUES                                                                                                                            ;1;1;0;1;0
CMCIFRP1   ;CREDIT MUTUEL CIC BANQUES BANQ                                                                                                              ;1;1;0;1;0
CMCIFR2A   ;CREDIT MUTUEL                                                                                                                               ;1;1;0;1;0
CMCIFR21   ;CREDIT MUTUEL BANQUE FEDERATIV                                                                                                              ;1;1;0;1;0
CMCIGB31   ;BANQUE TRANSATLANTIQUE LONDRES                                                                                                              ;1;0;0;0;0
CMCILUL1   ;BANQUE TRANSATLANTIQUE (CM-CIC GROUP)                                                                                                       ;1;0;0;0;0
CMCIMCM1   ;CM-CIC MONACO                                                                                                                               ;1;1;0;1;0
CMCIMQM1   ;CREDIT MUTUEL-CAISSE FEDERALE ANTILLES GUYANE                                                                                               ;1;1;0;1;0
CMDMGPG1   ;CAISSE REGIONALE DE CREDIT MARITIME MUTUEL D'OUTRE MER                                                                                      ;1;1;0;1;0
CMMDMCM1   ;CREDIT MOBILIER DE MONACO CMM                                                                                                               ;1;1;0;0;0
CMMMFR21   ;CAISSE REGIONALE DE CREDIT MARITIME MUTUEL 'LA MEDITERRANEE'                                                                                ;1;1;0;1;0
CMPCFRP1   ;CMP BANQUE SA                                                                                                                               ;1;1;0;0;0
CMPYITM1   ;COMPASS SPA                                                                                                                                 ;1;1;0;1;0
CMROFR21   ;CAISSE DE CREDIT MUNICIPAL DE ROUBAIX                                                                                                       ;1;1;0;0;0
CMUBFR21   ;CAISSE DE CREDIT MUNICIPAL DE BOULOGNE-SUR-MER                                                                                              ;1;1;0;0;0
CMUTFR21   ;CREDIT MUTUEL                                                                                                                               ;1;1;0;1;0
CNBACZPP   ;CESKA NARODNI BANKA                                                                                                                         ;1;0;0;0;0
CNORGB2X   ;NORTHERN TRUST GLOBAL SERVICES LIMITED                                                                                                      ;1;0;0;0;0
CNORGB22   ;NORTHERN TRUST COMPANY, THE                                                                                                                 ;1;0;0;0;0
CNORLULX   ;NORTHERN TRUST GLOBAL SERVICES LIMITED LUXEMBOURG BRANCH                                                                                    ;1;0;0;0;0
CNRNIE21   ;CANA CREDIT UNION LIMITED                                                                                                                   ;1;0;0;0;0
COBAATWX   ;COMMERZBANK AG, NIEDERLASSUNG WIEN WIEN                                                                                                     ;1;1;0;1;0
COBABEBX   ;COMMERZBANK AG,THE,BRUSSELS BRANCH                                                                                                          ;1;1;0;1;0
COBABEB1022;COMMERZBANK AG,THE,BRUSSELS BRANCH                                                                                                          ;1;1;0;1;0
COBACHZH   ;COMMERZBANK AG                                                                                                                              ;1;1;0;1;0
COBACZPX   ;COMMERZBANK AG                                                                                                                              ;1;1;0;1;0
COBADEBB   ;COMMERZBANK AG                                                                                                                              ;1;1;0;1;1
COBADEDD   ;COMMERZBANK AG                                                                                                                              ;1;1;0;1;1
COBADEDH   ;COMMERZBANK AG, WUPPERTAL (ZW.117)                                                                                                          ;1;1;0;1;1
COBADEFF   ;COMMERZBANK AG                                                                                                                              ;1;1;0;1;1
COBADEF1   ;COMMERZBANK AG                                                                                                                              ;1;0;0;0;0
COBADEHD   ;COMDIRECT BANK AG                                                                                                                           ;1;1;0;1;1
COBADEHH   ;COMMERZBANK AG                                                                                                                              ;1;1;0;1;1
COBADEMX   ;EUROPEAN BANK FOR FINANCIAL SERVICES GMBH (EBASE)                                                                                           ;1;1;0;0;0
COBAESMX   ;COMMERZBANK AG                                                                                                                              ;1;1;0;1;0
COBAFRPX   ;COMMERZBANK AG                                                                                                                              ;1;1;0;1;0
COBAGB2X   ;COMMERZBANK AG                                                                                                                              ;1;1;0;1;0
COBAHUHX   ;COMMERZBANK (BUDAPEST) RT.                                                                                                                  ;1;1;0;1;0
COBAITMM   ;COMMERZBANK AG                                                                                                                              ;1;1;0;1;0
COBALULU   ;COMMERZBANK AG                                                                                                                              ;1;0;0;0;0
COBALULX   ;BANK JULIUS BAER LUXEMBOURG S.A. (FORM. CISAL)                                                                                              ;1;0;0;0;0
COBANL2X   ;COMMERZBANK AG KANTOOR AMSTERDAM                                                                                                            ;1;1;0;1;0
COBASKBX   ;COMMERZBANK AG                                                                                                                              ;1;1;0;1;0
COESGR21   ;SERRES COP. BANK                                                                                                                            ;1;0;0;0;0
COFEFR2P   ;COFACREDIT                                                                                                                                  ;1;0;0;0;0
COFIFRPP   ;EDMOND DE ROTHSCHILD (FRANCE)                                                                                                               ;1;1;0;1;0
COFIITM1   ;EDMOND DE ROTHSCHILD BANQUE                                                                                                                 ;1;1;0;1;0
COKSDE33   ;KREISSPARKASSE KOELN                                                                                                                        ;1;1;0;1;1
COLQFR21   ;C2A COMPAGNIE DE L'ARC ATLANTIQUE                                                                                                           ;1;0;0;0;0
COLSDE33   ;SPARKASSE KOELNBONN (FORMER STADTSPARKASSE KOELN)                                                                                           ;1;1;0;1;1
COMMDEFF   ;BANK OF COMMUNICATIONS CO. LTD FRANKFURT BRANCH                                                                                             ;1;1;0;1;0
COOPCHBB   ;BANK COOP AG                                                                                                                                ;1;0;0;0;0
COPRATWW   ;SEMPER CONSTANTIA PRIVATBANK AKTIENGESELLSCHAFT                                                                                             ;1;1;0;0;0
COPXMTMT   ;W AND J COPPINI AND CO                                                                                                                      ;1;0;0;0;0
COURFR2T   ;BANQUE COURTOIS S.A.                                                                                                                        ;1;1;0;1;0
COUTGB22   ;COUTTS                                                                                                                                      ;1;0;0;0;0
CPAYIE2D   ;FIRE FINANCIAL SERVICES LIMITED                                                                                                             ;1;0;0;0;0
CPBIFRPP   ;CP OR DEVISES                                                                                                                               ;1;1;0;1;0
CPBKGB22   ;CO-OPERATIVE BANK PLC.                                                                                                                      ;1;0;0;0;0
CPDIDE51   ;GE CAPITAL DIREKT                                                                                                                           ;1;0;0;0;0
CPHBBE75   ;CPH BANQUE                                                                                                                                  ;1;1;0;1;0
CPLADE55   ;TARGO COMMERCIAL FINANCE AG                                                                                                                 ;1;1;0;0;0
CPLUDES1   ;CREDITPLUS BANK AKTIENGESELLSCHAFT                                                                                                          ;1;1;0;1;0
CPMEFRPP   ;BPIFRANCE FINANCEMENT                                                                                                                       ;1;1;0;0;0
CPPTFRP1   ;B SA                                                                                                                                        ;1;0;0;0;0
CPRAIT31   ;BANCA DI CAPRANICA E BASSANO ROMANO IN A.S.                                                                                                 ;1;1;0;1;0
CRACIT31   ;BANCA DI CREDITO COOPERATIVO DI CAMBIANO                                                                                                    ;1;1;0;1;0
CRACIT33   ;BCC CAMBIANO                                                                                                                                ;1;1;0;1;0
CRAMCHGG   ;Banque Cramer & Cie SA                                                                                                                      ;1;0;0;0;0
CRBAGRAA   ;ALPHA BANK AE                                                                                                                               ;1;1;0;1;0
CRBIIT2B   ;BIVERBANCA - CASSA DI RISP BIELLA E VERCELLI                                                                                                ;1;1;0;1;0
CRBNPTPL   ;BANCO POPULAR PORTUGAL, S.A.                                                                                                                ;1;1;0;0;0
CRBRIT21   ;CASSA DI RISPARMIO DI BRA S.P.A.                                                                                                            ;1;1;0;1;0
CRBZIT2B   ;CASSA DI RISPARMIO DI BOLZANO S.P.A.                                                                                                        ;1;1;0;1;0
CRCBIT21   ;BANCA DI CREDITO COOPERATIVO DI CARATE BRIANZA S.C.A.R.L.                                                                                   ;1;1;0;1;0
CRCBIT22   ;BANCA DI CREDITO COOPERATIVO DI CARATE BRIANZA S.C.A.R.L.                                                                                   ;1;1;0;1;0
CRCEIT2C   ;CASSA DI RISPARMIO DI CENTO                                                                                                                 ;1;1;0;1;0
CRDMLULL   ;CREDEM INTERNATIONAL (LUX) S.A.                                                                                                             ;1;0;0;0;0
CRDRIT2F   ;CREDITO DI ROMAGNA SPA                                                                                                                      ;1;1;0;1;0
CRDZROBU   ;PATRIA BANK SA                                                                                                                              ;1;0;0;0;0
CREBIT21   ;CREDITO BERGAMASCO SPA                                                                                                                      ;1;1;0;1;0
CREBIT22   ;BANCO POPOLARE SOC. COOP. (FORMERLY CREDITO BERGAMASCO)                                                                                     ;1;1;0;1;0
CREGBEBB   ;CBC BANQUE S.A.                                                                                                                             ;1;1;0;1;0
CRESATWW   ;CREDIT SUISSE (LUXEMBOURG) S.A. ZWEIGNIEDERLASSUNG OESTEREICH                                                                               ;1;0;0;0;0
CRESCHZH   ;CREDIT SUISSE AG                                                                                                                            ;1;1;0;0;0
CRESCHZZ   ;CREDIT SUISSE AG                                                                                                                            ;1;1;0;1;0
CRESDE55   ;CREDIT SUISSE (DEUTSCHLAND) AG                                                                                                              ;1;1;0;1;0
CRESESMM   ;CREDIT SUISSE AG, SUCURSAL EN ESPANA                                                                                                        ;1;1;0;0;0
CRESGIGI   ;CREDIT SUISSE (GIBRALTAR) LTD                                                                                                               ;1;0;0;0;0
CRESITMM   ;CREDIT SUISSE (ITALY) S.P.A.                                                                                                                ;1;1;0;0;0
CRESLULL   ;CREDIT SUISSE (LUXEMBOURG) S.A., PRIVATE BANKING                                                                                            ;1;1;0;1;0
CRESMCMX   ;CREDIT SUISSE (MONACO)                                                                                                                      ;1;1;0;1;0
CREXBGSF   ;TOKUDA BANK AD                                                                                                                              ;1;0;0;0;0
CRFEIT3F   ;CASSA DI RISPARMIO DI FERMO SPA                                                                                                             ;1;1;0;1;0
CRFIIT2S   ;CASSA DI RISPARMIO DELLA SPEZIA S.P.A.                                                                                                      ;1;1;0;1;0
CRFIIT3F   ;CASSA DI RISPARMIO DI FIRENZE S.P.A.                                                                                                        ;1;1;0;1;0
CRFIIT3KF74;CASSA DI RISPARMIO DI FIRENZE S.P.A.                                                                                                        ;1;1;0;0;0
CRFIIT3P   ;CASSA DI RISPARMIO DI PISTOIA E DELLA LUCCHESIA SPA                                                                                         ;1;1;0;1;0
CRGEFR2X   ;BANCA CARIGE SPA                                                                                                                            ;1;1;0;0;0
CRGEITGG   ;BANCA CARIGE SPA - CASSA DI RISPARMIO DI GENOVA E IMPERIA                                                                                   ;1;1;0;1;0
CRIFIT2F   ;CASSA DI RISPARMIO DI FOSSANO                                                                                                               ;1;1;0;1;0
CRIFIT21   ;CASSA DI RISPARMIO DI FOSSANO                                                                                                               ;1;1;0;1;0
CRLOIT3L   ;CARILO - CASSA DI RISPARMIO DI LORETO                                                                                                       ;1;1;0;1;0
CRLVIT21   ;CREDITO LOMBARDO VENETO SPA                                                                                                                 ;1;1;0;1;0
CRLYBEBB   ;CREDIT AGRICOLE CIB BELGIUM                                                                                                                 ;1;1;0;1;0
CRLYFRPP   ;CREDIT LYONNAIS                                                                                                                             ;1;1;0;1;0
CRLYGB2L   ;CREDIT AGRICOLE CIB                                                                                                                         ;1;1;0;1;0
CRLYMCM1   ;LCL (LE CREDIT LYONNAIS) MONACO                                                                                                             ;1;1;0;1;0
CRMPFRP1   ;CREDIT MUNICIPAL DE PARIS ETABLISSEMENT PUBLIC ADMINISTRATIF                                                                                ;1;1;0;0;0
CRNPFRP1   ;LA BANQUE POSTALE CREDIT ENTREPRISES                                                                                                        ;1;0;0;0;0
CROAHR2X   ;CROATIA BANKA D.D.                                                                                                                          ;1;0;0;0;0
CROPITRR   ;DEXIA CREDIOP SPA                                                                                                                           ;1;0;0;0;0
CRPCIT3J   ;CASSA DI RISPARMIO DI CHIETI                                                                                                                ;1;1;0;1;0
CRPCIT31   ;CASSA DI RISPARMIO DELLA PROVINCIA DI CHIETI                                                                                                ;1;0;0;0;0
CRPPIT2P   ;CASSA DI RISPARMIO DI PARMA E PIACENZA S.P.A.                                                                                               ;1;1;0;1;0
CRRAIT2R   ;CASSA DI RISPARMIO DI RAVENNA S.P.A.                                                                                                        ;1;1;0;1;0
CRRNIT2R   ;BANCA CARIM-CASSA DI RISPARMIO DI RIMINI SPA                                                                                                ;1;1;0;1;0
CRRNSMSM   ;BANCA CIS S.P.A.                                                                                                                            ;1;1;0;1;0
CRSAIT22   ;CASSA RISPARMIO DI SALUZZO                                                                                                                  ;1;1;0;1;0
CRSMIT3S   ;CASSA DI RISPARMIO DI SAN MINIATO S.P.A.                                                                                                    ;1;1;0;1;0
CRSNIT31   ;CREDITO SALERNITANO - BANCA POPOLARE DELLA PROVINCIA DI SALERNO -SOCIE                                                                      ;1;1;0;1;0
CRTAFR21   ;CREATIS SA                                                                                                                                  ;1;1;0;1;0
CRUNIE21   ;B AND S CREDIT UNION LIMITED                                                                                                                ;1;0;0;0;0
CRVOIT3V   ;CASSA DI RISPARMIO DI VOLTERRA                                                                                                              ;1;1;0;1;0
CSCAFR21   ;CAISSE DE CREDIT MUNICIPAL D'AVIGNON                                                                                                        ;1;1;0;0;0
CSCIIE21   ;COIS SIONNA CREDIT UNION LIMITED                                                                                                            ;1;0;0;0;0
CSDBDE71   ;BNP PARIBAS S.A. NL GERMANY FORMER CORTAL CONSORS                                                                                           ;1;1;0;1;1
CSDLLT22577;LIETUVOS CENTRINIS VP DEPOZITORIUMAS                                                                                                        ;1;0;0;0;0
CSDNIE21   ;CROSSHAVEN CARRIGALINE CREDIT UNION LTD                                                                                                     ;1;1;0;0;0
CSDOIE21   ;CIVIL SERVICE CREDIT UNION LIMITED                                                                                                          ;1;1;0;0;0
CSDUIE21   ;CASHEL CONNEMARA CREDIT UNION LIMITED                                                                                                       ;1;0;0;0;0
CSENIE21   ;CASTLECOMER CREDIT UNION LIMITED                                                                                                            ;1;1;0;0;0
CSEOIE21   ;CASTLEPOLLARD CREDIT UNION LTD                                                                                                              ;1;0;0;0;0
CSPAES2L   ;BANCO DE CAJA ESPANA DE INVERSIONES, SALAMANCA Y SORIA, S.A.                                                                                ;1;1;0;1;0
CSPAES2LXXX;BANCO CEISS                                                                                                                                 ;1;0;0;0;0
CSRFITR1   ;CASSA RISP E SOVV PERSONALE BANCA D ITALIA                                                                                                  ;1;1;0;1;0
CSRIIE21   ;CASTLEBLAYNEY CREDIT UNION LIMITED                                                                                                          ;1;1;0;0;0
CSRNIE21   ;FIRST CHOICE CREDIT UNION LIMITED                                                                                                           ;1;1;0;0;0
CSRUIE21   ;AFFINITY CREDIT UNION LIMITED                                                                                                               ;1;1;0;0;0
CSSMSMSM   ;CASSA RISP.REPUBBLICA SAN MARINO                                                                                                            ;1;1;0;1;0
CSSOES2S   ;CAJA DE AHORROS DE SALAMANCA Y SORIA (CAJA DUERO)                                                                                           ;1;1;0;1;0
CSSOES2SXXX;BANCO CEISS SALAMANCA Y SORIA                                                                                                               ;1;0;0;0;0
CSUKGB2L   ;CREDIT SUISSE (UK) LIMITED                                                                                                                  ;1;0;0;0;0
CSURES2C   ;CAJASUR BANCO, S.A.U.                                                                                                                       ;1;1;0;1;0
CTBKBEBX   ;BEOBANK NV/SA                                                                                                                               ;1;1;0;1;0
CTCNIE21   ;COOTEHILL CREDIT UNION LIMITED                                                                                                              ;1;1;0;0;0
CTIUPTP1   ;CAIXA DE CREDITO AGRICOLA MUTUO DE TORRES VEDRAS,C.R.L                                                                                      ;1;1;0;0;0
CTTVPTPL   ;BANCO CTT, SA                                                                                                                               ;1;1;0;0;0
CUABDED1   ;BANK11DIREKT GMBH                                                                                                                           ;1;1;0;1;1
CUCUIE21   ;CUCHULLAIN CREDIT UNION LIMITED                                                                                                             ;1;1;0;0;0
CULTNOK1   ;CULTURA SPAREBANK                                                                                                                           ;1;0;0;0;0
CVMCBEBB   ;CREDIT AGRICOLE LUXEMBOURG, SUCCURSALE EN BELGIQUE,BIJBANK IN BELGIE                                                                        ;1;1;0;0;0
CVRVES2B   ;IPAR KUTXA RURAL, S.C.C.                                                                                                                    ;0;0;0;1;0
CXBIPTPL   ;CAIXA BANCO DE INVESTIMENTO, S.A.                                                                                                           ;1;0;0;0;0
CYDBCY2N   ;CYPRUS DEVELOPMENT BANK PUBLIC COMPANY LTD, THE                                                                                             ;1;0;0;0;0
CZNBGB2L   ;KOOKMIN BANK INTERNATIONAL LTD.                                                                                                             ;1;0;0;0;0
DAAEDEDD   ;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1002;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1003;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1004;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1005;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1006;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1007;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1008;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1009;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1010;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1011;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1012;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1013;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1014;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1015;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1016;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1017;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1018;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1019;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1020;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1021;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1022;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1023;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1024;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1025;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1026;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1027;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1028;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1029;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1030;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1031;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1032;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1033;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1034;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1035;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1036;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1037;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1040;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1041;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1042;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1043;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1044;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1045;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1046;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1048;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1049;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DAAEDED1050;DEUTSCHE APOTHEKER- UND AERZTEBANK                                                                                                          ;1;1;0;1;1
DABADEHH   ;DANSKE BANK                                                                                                                                 ;1;1;0;1;1
DABADKKK   ;DANSKE BANK A/S                                                                                                                             ;1;1;0;1;0
DABAFIHH   ;DANSKE BANK PLC                                                                                                                             ;1;1;0;1;0
DABAFIHX   ;DANSKE BANK                                                                                                                                 ;1;1;0;1;0
DABAGB2B   ;NORTHERN BANK LIMITED (TRADING AS DANSKE BANK)                                                                                              ;1;1;0;1;0
DABAGB2L   ;DANSKE BANK                                                                                                                                 ;1;1;0;1;0
DABAIE2D   ;DANSKE BANK A/S                                                                                                                             ;1;1;0;1;0
DABALULL   ;DANSKE BANK INTERNATIONAL S.A.                                                                                                              ;1;0;0;0;0
DABANO22   ;DANSKE BANK A/S                                                                                                                             ;1;1;0;1;0
DABAPLPW   ;DANSKE BANK A/S S.A. ODZIAL W POLSCE                                                                                                        ;1;0;0;0;0
DABASESX   ;DANSKE BANK                                                                                                                                 ;1;1;0;1;0
DABBDEMM   ;BNP PARIBAS S.A. NL GERMANY FORMERLY DAB BANK AG                                                                                            ;1;1;0;1;1
DACNIE21   ;ST. DECLAN'S ASHBOURNE CREDIT UNION LIMITED                                                                                                 ;1;1;0;0;0
DAFBRO22   ;BANK LEUMI ROMANIA S.A.                                                                                                                     ;1;0;0;0;0
DANBDK22   ;DANSKE ANDELSKASSERS BANK A/S                                                                                                               ;1;1;0;1;0
DBSALULL   ;UNION BANCAIRE PRIVEE (EUROPE) S.A.                                                                                                         ;1;1;0;0;0
DCBECH22   ;BURGERGEMEINDE BERN DC BANK                                                                                                                 ;1;0;0;0;0
DCRUIE21   ;DOUGLAS CREDIT UNION LIMITED                                                                                                                ;1;1;0;0;0
DEBKDE51   ;DEBEKA BAUSPARKASSE AG                                                                                                                      ;1;1;0;0;0
DEEUIE21   ;DERG CREDIT UNION LTD                                                                                                                       ;1;1;0;0;0
