BIC;Name;Service SCT;Service SDD;Service COR1;Service B2B;Service SCC
AEXTCHZZ   ;BANQUE ALGERIENNE DU COMMERCE EXTERIEUR S.A.                                                                                                ;1;0;0;0;0
AFJONO21   ;AFJORD SPAREBANK                                                                                                                            ;1;0;0;0;0
AFRIFRPP   ;BOA-FRANCE                                                                                                                                  ;1;1;0;0;0
AGBACZPP   ;GE MONEY BANK, A.S.(FORMERLY GE CAPITAL BANK A.S.)                                                                                          ;1;0;0;0;0
AGBLLT2X   ;AB DNB BANKAS                                                                                                                               ;1;0;0;0;0
AGBMDEMM   ;AIRBUS GROUP BANK GMBH                                                                                                                      ;1;1;0;1;1
AGCIIT2B   ;BANCA AGCI SPA                                                                                                                              ;1;1;0;1;0
AGCUIE21   ;ST. AGNES CREDIT UNION LIMITED                                                                                                              ;1;1;0;0;0
AGFBFRCC   ;ALLIANZ BANQUE S.A. (FORMER BANQUE AGF S.A.)                                                                                                ;1;1;0;1;0
AGRICHGG   ;CA INDOSUEZ (SWITZERLAND) SA                                                                                                                ;1;0;0;0;0
AGRICHGX   ;CREDIT AGRICOLE FINANCEMENTS (SUISSE) SA                                                                                                    ;1;0;0;0;0
AGRIESB1   ;CREDIT AGRICOLE (CRCAM SUD MEDITERRANEE - ARIEGE - PYRENEES ORIENTALES                                                                      ;0;1;0;0;0
AGRIESMM   ;CREDIT AGRICOLE LUXEMBOURG SUCURSAL EN ESPANA                                                                                               ;1;1;0;0;0
AGRIFRPP   ;CREDIT AGRICOLE SA                                                                                                                          ;1;1;0;1;0
AGRIFRP1ACF;CREDIT AGRICOLE SA                                                                                                                          ;1;1;0;1;0
AGRIFRP1EFG;CREDIT AGRICOLE SA (LEASING AND FACTORING)                                                                                                  ;1;0;0;0;0
AGRIGPGX   ;CREDIT AGRICOLE                                                                                                                             ;1;1;0;1;0
AGRIITMM   ;CREDIT AGRICOLE LUXEMBOURG, SUCCURSALE D'ITALIA                                                                                             ;1;1;0;0;0
AGRILULA   ;CREDIT AGRICOLE LUXEMBOURG                                                                                                                  ;1;1;0;0;0
AGRIMCM1   ;CREDIT AGRICOLE MONACO (CRCA PROVENCE COTE D'AZUR MONACO)                                                                                   ;1;1;0;1;0
AGRIMQMX   ;CREDIT AGRICOLE                                                                                                                             ;1;1;0;1;0
AGRIPLPR   ;CREDIT AGRICOLE BANK POLSKA S.A.                                                                                                            ;1;0;0;0;0
AGRIRERX   ;CREDIT AGRICOLE                                                                                                                             ;1;1;0;1;0
AHHBCH22   ;NEUE AARGAUER BANK AG                                                                                                                       ;1;1;0;1;0
AIAGATWW   ;ALLIANZ INVESTMENTBANK AG, WIEN                                                                                                             ;1;1;0;0;0
AIBKGB2L   ;ALLIED IRISH BANK (GB) (AIB GROUP (UK) P.L.C. T/A)                                                                                          ;1;0;0;0;0
AIBKIE2D   ;AIB BANK                                                                                                                                    ;1;1;0;0;0
AICUIE21   ;ST AILBES CREDIT UNION LIMITED                                                                                                              ;1;0;0;0;0
AIKACH22   ;APPENZELLER KANTONALBANK                                                                                                                    ;1;0;0;0;0
AIRACZPP   ;AIR BANK A.S.                                                                                                                               ;1;0;0;0;0
AIZKLV22   ;ABLV BANK, AS                                                                                                                               ;1;0;0;0;0
AKBADES1   ;AKTIVBANK AKTIENGESELLSCHAFT                                                                                                                ;1;1;0;1;1
AKBCDE31   ;SANTANDER CONSUMER BANK AG (FORMERLY AKB BANK AG)                                                                                           ;1;1;0;1;0
AKBKDEFF   ;AKBANK AG                                                                                                                                   ;1;1;0;0;0
AKELEE21   ;AS POCOPAY                                                                                                                                  ;1;0;0;0;0
AKFBDE31   ;AKF BANK GMBH AND CO KG                                                                                                                     ;1;1;0;1;0
AKROITMM   ;BANCA AKROS                                                                                                                                 ;1;0;0;0;0
ALBADKKK   ;ARBEJDERNES LANDSBANK A/S                                                                                                                   ;1;1;0;1;0
ALBPPLPW   ;ALIOR BANK SPOLKA AKCYJNA                                                                                                                   ;1;0;0;0;0
ALCLESMM   ;BANCO ALCALA S.A.                                                                                                                           ;1;1;0;1;0
ALCLESMMXXX;BANCO ALCALA                                                                                                                                ;1;0;0;0;0
ALETITMM   ;BANCA ALETTI E C. S.P.A. (BANCO POPOLARE GROUP)                                                                                             ;1;1;0;1;0
ALMBDKKK   ;ALM. BRAND BANK                                                                                                                             ;1;1;0;1;0
ALOAIT21   ;ALTO ADIGE BANCA SPA                                                                                                                        ;1;1;0;1;0
ALPEAT22   ;ALPENBANK A.G.                                                                                                                              ;1;1;0;0;0
ALPEIT21   ;ALPENBANK AG FILIALE BOLZANO                                                                                                                ;1;1;0;1;0
ALSSITM1   ;BANCA ALBERTINI SYZ AND C. SPA                                                                                                              ;1;0;0;0;0
ALTEDEFA   ;ALTE LEIPZIGER BAUSPAR AG                                                                                                                   ;1;1;0;0;0
